ID,DIALECT,POS,IGBOWORD,MEANING,IGBOSENTENCE,ENGLISHSENTENCE
41,southern,n,odinihu,the time ahead,Odinihu ebuka.,The future is vast and filled with unimaginable possibilities.
42,general,n,okachamara,a know-it-all,O ganughi ekwe ebe o bu okachamara!,Of course he won't agree since he's a know-it-all!
43,general,n,omumu,fertility,Omumu si na aka Chukwu.,Fertility is a gift from God.
44,general,n,uma,numerical remainder,"Ekee ise uzo abuo,  o ga-ama uma mkpuru otu.",Five divided by two yields a remainder of one.
45,general,n,udi,sort,Achoro m udi nke a.,I want this particular sort.
46,southern,n,nganga,pride,Ha ji nwa ha akpa ngaga.,They take great pride in their child.
47,general,adj,agadi,agadi,Agadi nwanyi adighi aka nka na egwu o maara agba.,An elderly woman's age is not reflected when she dances to a familiar tune.
48,general,n,aka nri,right hand,Ndi Igbo ji aka nri ekwe ekele.,The Igbo people greet with their right hand.
49,general,adj,mbu,first,Chidi bu onye mbu.,Chidi is the first person.
50,general,n,ugwu,respect,Ugwu bu nkwanyere nkwanyere.,Respect is reciprocal.
51,general,adv,nso,near,Ulo ha di nso.,Their house is nearby.
52,general,n,ako na uche,common sense,Ako na uche na amamakwukwo di iche.,"It is one thing to be well-read and educated, it is another to have common sense."
53,southern,n,uru,profit,"Ahia ndi aka nkpi n'aabu, uru anaghi adi ya.","When two penny-pinchers conduct business, no one profits."
54,general,adj,iche iche,assorted,Asusu di na uwa di iche iche.,There are so many languages on earth.
55,general,n,ozuzu,upbringing ,Agwa oma si na ozuzu.,Exemplerary character is a result of proper upbringing.
56,southern,n,okporo uzo,street,Leruo anya ma I na-agafe okporo uzo.,Be vigilant when you cross the street.
57,northern,n,ogo,philanthropy,Ngozi diri ndi na-eme ogo.,Blessed are those who practice philanthropy.
58,general,v,igba egbe onu,to make empty threats,"Gba ya nkiti, o na-agba egbe onu.","Pay him no mind, he is simply making empty threats."
59,general,adj,anya anya,far away,Ka anyi noro anya anya na-ele ha.,Let us observe them from a safe distance.
60,general,n,ndumodu,counsel,Ndumodu ojoo na eduhie nmadu uzo. ,Poor counsel leads one astray.
61,southern,n,oru,a critical flaw or defect,Ukwu oche ahu nwere oru.,That chair has a critical defect on its legs.
62,general,adv,ebighi ebi,incessant,Nsogbu uwa ebighi ebi.,Life's struggles are incessant.
63,northern,n,nkata,conversation,Anyi kpara nkata na okpuru osisi.,We had a conversation under the tree.
64,southern,n,agburu,lineage,O si na agburu eje.,It is passed down from generation to generation.
65,general,n,onuma,deep-rooted animosity,Onuma ekweghi Nwanyinma na nwunye di ya ibi na udo.,"Nwanyinma and her co-wife were unable to live peacefully, due to the deep-rooted animosity between them."
66,general,n,ofo,concept of righteousness,Ome ihe jide ofo.,Act with justification.
67,general,n,nka na uzu,science and technology,O na-amu nka na uzu na mahadum.,She is studying science and technology in the university.
68,southern,v,isi agugo,to contest or argue,Ana-esiri ya agugo?,Is it up for debate?
69,southern,v,iju oku,to cool from hot to slightly warm,Nri gi ajuola oku.,Your meal has cooled down now.
70,general,n,izu,a private or intimate discussion,Izu ka nma na nneji.,Intimate discusion is best amongst kin.
71,general,n,esemokwu,discord,Na onye eyela onu na esemokwu di na nwunye.,One should not meddle in the private discord between a husband and wife.
72,general,n,owu,deep silence,Ebe niile kuru owu.,It is extremely silent.
73,general,adj,obia,foreign,Ha nabatara ndi obia.,They hosted foreign guests.
74,general,n,nkato,slander,Nkato ka nsi.,Slandering a person's name is far worse than poison.
75,general,n,mkpebi,final resolve,Emechaa anyi a mara ihe bu mkpebi ndi amaala.,"Soon, we will know what the elders have resolved to do."
76,general,v,ima anya,to be well-versed in a topic ,Nkechi ma anya komputa.,Nneka is familiar with all aspects of computers.
77,southern,n,ariri,anguish,Ariri egbula m!,May anguish not consume me!
78,southern,n,iko,extramarital lover,Kwa abali ka Ugorie ji alakwuru iko ya.,Ugorie frequents her lover on a nightly basis.
79,general,n,nmegwa,vengeance,Chi nwe nmegwa.,Vengeance is left up to God.
80,general,n,nka,skill,Orieji ji nka tee ofe a.,Orieji skillfully prepared this soup.
81,southern,n,ekworo,jealousy,"Aku zuo umunna, anya ukwu na ekworo alaa.","When wealth is shared fairly amongst kin, jealousy and greed fade away."
82,southern,adj,mberede,sudden and unforseen,Mberede nyiri dike.,Unexpected circumstances are beyond the capacity of heroes.
83,general,n,ide,pillar,O bu ide ji ulo.,She is the pillar that holds the house errect.
84,general,v,ituko isi onu,to collectively brainstorm,Ka anyi tukoo isi onu.,Let us put our heads together and brainstorm.
85,general,n,obodo nmepe,development and urbanization,Anyi choro obodo nmepe.,We seek the development and urbanization of our community.
86,general,adj,kwem,straight and upright,Dozie ya kwem.,Reposition it so it can be straight and upright.
87,general,n,nkamanya,insolance,"Nkamanya umu uwa ohuru a, ahutubeghi m!",The insolence of this new generation is profound and unfamiliar to me!
88,southern,n,ebiri,agemate or age grade,Mu na ya bu ebiri.,She and I are agemates.
89,general,n,agwa,personality,Agwa ya amaa.,Her personality is amazing.
90,general,n,njakiri,banter,Unu hapu njakiri ka any kpaa ezi ihe!,"Quit the banter, guys, and let's be serious!"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
